Wind On,Solar
1846.0,0.0
1796.5,10.5
1747.0,21.0
1697.5,31.5
1648.0,42.0
1598.5,62.25
1549.0,82.5
1499.5,102.75
1450.0,123.0
1423.0,132.75
1396.0,142.5
1369.0,152.25
1342.0,162.0
1357.5,168.5
1373.0,175.0
1388.5,181.5
1404.0,188.0
1364.75,186.75
1325.5,185.5
1286.25,184.25
1247.0,183.0
1230.0,189.25
1213.0,195.5
1196.0,201.75
1179.0,208.0
1193.5,196.0
1208.0,184.0
1222.5,172.0
1237.0,160.0
1258.0,158.5
1279.0,157.0
1300.0,155.5
1321.0,154.0
1281.5,132.0
1242.0,110.0
1202.5,88.0
1163.0,66.0
1148.5,50.5
1134.0,35.0
1119.5,19.5
1105.0,4.0
1112.75,3.0
1120.5,2.0
1128.25,1.0
1136.0,0.0
1144.25,0.0
1152.5,0.0
1160.75,0.0
1169.0,0.0
1153.75,0.0
1138.5,0.0
1123.25,0.0
1108.0,0.0
1099.75,0.0
1091.5,0.0
1083.25,0.0
1075.0,0.0
1015.0,0.0
955.0,0.0
895.0,0.0
835.0,0.0
795.25,0.0
755.5,0.0
715.75,0.0
676.0,0.0
682.0,0.0
688.0,0.0
694.0,0.0
700.0,0.0
680.75,0.0
661.5,0.0
642.25,0.0
623.0,0.0
577.5,0.0
532.0,0.0
486.5,0.0
441.0,0.0
430.75,0.0
420.5,0.0
410.25,0.0
400.0,0.0
403.75,0.0
407.5,0.0
411.25,0.0
415.0,0.0
415.5,0.0
416.0,0.0
416.5,0.0
417.0,0.0
406.5,0.0
396.0,0.0
385.5,0.0
375.0,0.0
366.25,0.0
357.5,0.0
348.75,0.0
340.0,0.0
336.5,10.25
333.0,20.5
329.5,30.75
326.0,41.0
314.5,61.75
303.0,82.5
291.5,103.25
280.0,124.0
261.5,136.0
243.0,148.0
224.5,160.0
206.0,172.0
216.0,173.0
226.0,174.0
236.0,175.0
246.0,176.0
264.0,175.5
282.0,175.0
300.0,174.5
318.0,174.0
361.0,166.5
404.0,159.0
447.0,151.5
490.0,144.0
537.0,139.25
584.0,134.5
631.0,129.75
678.0,125.0
734.25,111.5
790.5,98.0
846.75,84.5
903.0,71.0
967.75,59.25
1032.5,47.5
1097.25,35.75
1162.0,24.0
1272.75,18.25
1383.5,12.5
1494.25,6.75
1605.0,1.0
1758.25,0.75
1911.5,0.5
2064.75,0.25
2218.0,0.0
2373.0,0.0
2528.0,0.0
2683.0,0.0
2838.0,0.0
2941.75,0.0
3045.5,0.0
3149.25,0.0
3253.0,0.0
3282.5,0.0
3312.0,0.0
3341.5,0.0
3371.0,0.0
3368.75,0.0
3366.5,0.0
3364.25,0.0
3362.0,0.0
3348.75,0.0
3335.5,0.0
3322.25,0.0
3309.0,0.0
3243.75,0.0
3178.5,0.0
3113.25,0.0
3048.0,0.0
2970.75,0.0
2893.5,0.0
2816.25,0.0
2739.0,0.0
2652.25,0.0
2565.5,0.0
2478.75,0.0
2392.0,0.0
2326.25,0.0
2260.5,0.0
2194.75,0.0
2129.0,0.0
2062.25,0.0
1995.5,0.0
1928.75,0.0
1862.0,0.0
1793.75,0.0
1725.5,0.0
1657.25,0.0
1589.0,0.0
1543.75,0.0
1498.5,0.0
1453.25,0.0
1408.0,0.0
1357.5,0.0
1307.0,0.0
1256.5,0.0
1206.0,0.0
1151.75,1.75
1097.5,3.5
1043.25,5.25
989.0,7.0
946.75,13.5
904.5,20.0
862.25,26.5
820.0,33.0
771.75,41.0
723.5,49.0
675.25,57.0
627.0,65.0
589.75,75.25
552.5,85.5
515.25,95.75
