"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Portugal (PT)","04.10.2020 10:00 - 04.10.2020 11:00 (CET/CEST)","352","n/e","n/e","n/e","416","0","n/e","n/e","n/e","n/e","0","1181","163","83","n/e","n/e","32","n/e","205","n/e","14","2738"
"Portugal (PT)","04.10.2020 11:00 - 04.10.2020 12:00 (CET/CEST)","355","n/e","n/e","n/e","416","0","n/e","n/e","n/e","n/e","0","790","164","42","n/e","n/e","32","n/e","263","n/e","16","2811"
"Portugal (PT)","04.10.2020 12:00 - 04.10.2020 13:00 (CET/CEST)","365","n/e","n/e","n/e","416","0","n/e","n/e","n/e","n/e","0","1423","173","2","n/e","n/e","33","n/e","297","n/e","12","3155"
"Portugal (PT)","04.10.2020 13:00 - 04.10.2020 14:00 (CET/CEST)","400","n/e","n/e","n/e","412","0","n/e","n/e","n/e","n/e","0","1766","126","0","n/e","n/e","33","n/e","310","n/e","19","3498"
"Portugal (PT)","04.10.2020 14:00 - 04.10.2020 15:00 (CET/CEST)","408","n/e","n/e","n/e","409","0","n/e","n/e","n/e","n/e","0","1482","67","6","n/e","n/e","33","n/e","308","n/e","10","3618"
"Portugal (PT)","04.10.2020 15:00 - 04.10.2020 16:00 (CET/CEST)","414","n/e","n/e","n/e","413","0","n/e","n/e","n/e","n/e","0","1930","151","2","n/e","n/e","32","n/e","351","n/e","16","3661"
"Portugal (PT)","04.10.2020 16:00 - 04.10.2020 17:00 (CET/CEST)","416","n/e","n/e","n/e","413","0","n/e","n/e","n/e","n/e","0","1953","157","0","n/e","n/e","33","n/e","351","n/e","20","3760"
"Portugal (PT)","04.10.2020 17:00 - 04.10.2020 18:00 (CET/CEST)","412","n/e","n/e","n/e","489","0","n/e","n/e","n/e","n/e","0","1835","172","0","n/e","n/e","33","n/e","329","n/e","14","3621"
"Portugal (PT)","04.10.2020 18:00 - 04.10.2020 19:00 (CET/CEST)","409","n/e","n/e","n/e","686","0","n/e","n/e","n/e","n/e","1","842","80","0","n/e","n/e","32","n/e","189","n/e","9","3582"
"Portugal (PT)","04.10.2020 19:00 - 04.10.2020 20:00 (CET/CEST)","405","n/e","n/e","n/e","731","0","n/e","n/e","n/e","n/e","361","90","134","42","n/e","n/e","33","n/e","38","n/e","1","3373"
"Portugal (PT)","04.10.2020 20:00 - 04.10.2020 21:00 (CET/CEST)","414","n/e","n/e","n/e","784","0","n/e","n/e","n/e","n/e","1745","1","666","793","n/e","n/e","32","n/e","0","n/e","0","3088"
"Portugal (PT)","04.10.2020 21:00 - 04.10.2020 22:00 (CET/CEST)","412","n/e","n/e","n/e","723","0","n/e","n/e","n/e","n/e","1645","1","734","291","n/e","n/e","33","n/e","0","n/e","1","3200"
"Portugal (PT)","04.10.2020 22:00 - 04.10.2020 23:00 (CET/CEST)","407","n/e","n/e","n/e","729","0","n/e","n/e","n/e","n/e","1035","1","680","225","n/e","n/e","32","n/e","0","n/e","3","3190"
"Portugal (PT)","04.10.2020 23:00 - 05.10.2020 00:00 (CET/CEST)","411","n/e","n/e","n/e","653","0","n/e","n/e","n/e","n/e","359","24","45","51","n/e","n/e","32","n/e","0","n/e","8","3207"
"Portugal (PT)","05.10.2020 00:00 - 05.10.2020 01:00 (CET/CEST)","416","n/e","n/e","n/e","696","0","n/e","n/e","n/e","n/e","1","90","248","0","n/e","n/e","33","n/e","0","n/e","4","3033"
"Portugal (PT)","05.10.2020 01:00 - 05.10.2020 02:00 (CET/CEST)","411","n/e","n/e","n/e","705","0","n/e","n/e","n/e","n/e","0","1125","19","0","n/e","n/e","33","n/e","0","n/e","0","2987"
